Word,Language,Example
abandonniez,FRA,"Si vous maintenez cette pratique sans faille depuis le commencement, jusqu'à ce que vous vous abandonniez totalement dans la complète liberté il n'y aura ni venir et"
abattirent,FRA,"Mais des hommes sont venus, qui firent avec ces arbres le manche de la hache avec laquelle ils les abattirent."
abattirent,FRA,"A ce spectacle, les chevaliers indignés se ruèrent sur eux, les exécutèrent, abattirent le drapeau du sultan et refermèrent les portes."
abattirent,FRA,"« Lui et ses compagnons abattirent une infinité de Sarrasins et à la fin il fut tué ainsi que tous les siens, comme chevaliers preux et hardis et bons chrétiens, et que Dieu ait leur âme ! »"
abattis,FRA,Mohamed VI... numérotez vos abattis... votre heure arrive !
abattis,FRA,J’abattis mon filet à papillon sur..le potiron.
abattis,FRA,"Numérotez vos abattis messieurs de la mafia, le vent de la révolte s'est levé."
abattis,FRA,"C’était la première fois que je cuisinais une volaille entière... et quand je me suis retrouvée face à face avec la bestiole, elle m’a impressionnée et j’ai senti que ça dépassait mes compétences, hihi Comme le volatile était encore un peu congelé, j’ai eu toutes les misères du monde à retirer les abattis."
abattis,FRA,J’abattis mon filet à papillon sur..le potiron.
abattront,FRA,"Ce sont des INDIVIDUS visant un même objectif, mais ne se constituant pas en groupes, qui abattront le Système en le sabotant, chacun à sa façon."
abattront,FRA,colère et son courroux s’abattront sur lui et il le punira en conséquence.
abattront,FRA,"L’Amérique n’entendait en effet, en vue des guerres imminentes (un an après fer et feu s’abattront sur l’Irak), exposer, ne serait-ce que d’un poil, ses militaires à une justice qui ne doit s’appliquer qu’aux vaincus… et non à des soldats auxquels la bride serait bientôt lâchée avec le beau résultat que l’on sait : six cent mille, un million de morts en Irak pour 9 ans d’occupation ?!"
abbesse,FRA,"Pour éviter que l’échiquier n’échoit aux Révolutionnaires, l’abbesse en confie les pièces à ses nonnes et les renvoie chez elles afin qu’elles les dispersent."
aber,FRA,"“….als ich….im Schaufenster der Buchhandlung ”Fiesta” von Hemingway sah, las ich aber “Fiesta” von Heimweh."
aber,FRA,"Reviens sur mes propos sur les mec de aber, j'en es rencontrée juste tres sympa pour bosser avec."
abhorrer,FRA,"C’est là ce qui arrive à tous ceux qui, ne pénétrant jamais plus avant que l’écorce et l’enveloppe extérieure de l’histoire, s’imaginent déclarer la guerre à l’intolérance, à l’orgueil et à la cruauté tandis que, sous le prétexte d’abhorrer les principes dangereux des anciennes factions, ils autorisent et nourrissent les mêmes vices odieux dans des factions différentes, et peut-être dans de pires encore."
abhorrer,FRA,J'aime bien le verbe abhorrer aussi.
abjectes,FRA,"A une journaliste qui l'interrogeait sur le caractère ignominieux de cette affaire, la magistrate, pourtant rompue aux conférences de presse de portée nationale et aux affaires abjectes, a répondu : ""Oui, c'est une affaire horrible, c'est la mort d'un jeune homme de 14 ans..."""
abjectes,FRA,"Dans un communiqué, il a fait part de sa ""colère"" et de sa ""totale détermination"" à éradiquer ces ""pratiques ""abjectes""."
abjectes,FRA,"Ses Dons pleuvaient; mais l’ingratitude et la suffisance; et l’avidité, rendaient inadhérentes leurs personnes abjectes."
abjectes,FRA,"Puissiez vous, loin des abjectes précarités qui vous sont imposées, sentir sur les plages vos corps vibrer au le soleil éclatant du temps libéré."
abjectes,FRA,"Mgr Pavy, évêque d’Alger, déclarait en 1853 :« L’islam est une prétendue religion… Le dieu de Mahomet change l’éternelle beauté du ciel en un lieu de prostitution, dont les orgies dépassent en lubricité multiple et stérile tout ce que l’idolâtrie elle-même, dans ses conceptions les plus abjectes, avait pu rêver. »"
abjectes,FRA,Certaines scènes sont carrément abjectes.
abjectes,FRA,Copé et ses conventions UMP où volent les propositions antisociales et xénophobes les plus abjectes sont sensées amener au parti de droite les sympathisant du FN.
abjectes,FRA,Ces assassins entreront dans l’histoire pour leurs agissements criminels et abjectes.
abjectes,FRA,"personne dont les pensées et les réflexions sont viles et abjectes, ne peut qu’être vile et abjecte"
abjectes,FRA,"Disons qu'il y a deux adolescents laissés à eux-mêmes à la mort de leur père; ayant toujours vécus dans un isolement quasi total et dans des conditions abjectes, ils ont une vision complètement distordue de la réalité."
abjectes,FRA,"Il est inadmissible et illégal qu’en Ile de France, 100 % des bêtes soient égorgées à vif, sans étourdissement préalable, dans des conditions de violence et d’inhumanité abjectes avec la volonté manifeste de cacher ce scandale aux consommateurs puisqu’aucun étiquetage ne précise le mode d’abattage."
abjections,FRA,"Si cet engagement pour la Marine, ce coup de pouce donné à la pire des abjections politiques, devait valoir à cette girouette de devenir un jour ministre de la Justice, nous lui offrons ici le début d’un discours qui lui permettra de laisser son nom dans l’Histoire, la grande, sinon à Vichy, du moins à l’Assemblée nationale : « Monsieur le président, mesdames, messieurs les députés, j’ai l’honneur, au nom du gouvernement de la République, de demander à l’Assemblée nationale le rétablissement de la peine de mort en France. »"
ablations,FRA,Des centaines d’Africains portés disparus auraient subi des ablations d’organes.
ablations,FRA,"Le groupe ayant subi un examen et une mammographie a connu beaucoup plus d’ablations et d’interventions chirurgicales que l’autre, avec un taux de mortalité de 107 contre 105 dans le groupe n’ayant subi qu’un simple examen clinique.16"
abolissait,FRA,"wordpress.com	2011/10/19	3	13,1,10	La loi Gramm-Leach-Bliley (qui abolissait Glass-Steagall) en elle-même n’a eu que peu d’impact sur les activités de trading des banques d’investissement."
abolissait,FRA,"Il y a 30 ans, la France abolissait la peine de mort, contre 50% de son opinion publique."
aborderait,FRA,"En cas de victoire, le Manceau, qui est d'ores et déjà assuré de disputer le Masters de Londres, entre les huit meilleurs mondiaux, arracherait à Berdych la sixième place au classement ATP, et bien sûr il aborderait cette consécration de la saison dans des conditions idéales."
aborderait,FRA,L'ancien ministre des Affaires étrangères avait également précisé qu'il aborderait le sujet du débat sur la laïcité et l'islam lancé par le parti majoritaire.
aborderait,FRA,"On disserte déjà sur l'orientation du film, sur la « thèse » qu'il aborderait."
aborderait,FRA,"Entre écrire « Il la frappe » ou « Elle s’allonge à même le sol devant un public », et le voir, il y a un décalage qui peut susciter un malaise… On n’approche pas ce film comme on aborderait un sujet tendre et romantique ; en questionnant l’humain, on touche forcément ceux qui sont impliqués dans le processus de fabrication."
aboyaient,FRA,« Ils aboyaient pas tout le temps.
aboyaient,FRA,Puis ce sanglier qui est venu se coller au grillage et les chiens qui aboyaient !
aboyaient,FRA,"Un vaste jardin d’arbres et d’herbes folles, où des chiens sans race aboyaient, confinés derrière un treillage."
aboyeur,FRA,"Avec demoiselles d'honneur en tenue d'époque, hallebardiers, aboyeur, belles robes et tenues correctes exigées."
aboyeur,FRA,"Demain un aboyeur UMP qui aura cassé sa chaîne, viendra nous dire que jamais, au grand jamais notre président n'avait dit qu'il cèderait devant les agences, et que le triple A il s'en torchait le boule à pleines pognes."
aboyeur,FRA,"quand un aboyeur a vraiment lassé le public, on le change On a remisé Lefèvre, on a Wauquiez, Guéant et d'autres vont suivre"
abreuvait,FRA,"Notre bienheureux sismoloye à lunettes, si admiratif devant cet acte courageux du gouvernement norvégien, n’a malheureusement pas su faire preuve du même courage, lui qui n’a pas osé divulguer qu’il s’abreuvait à cet imbuvable Bivouac."
abreuvait,FRA,"L’adroit seigneur commença l’attaque par une ruse bien calculée : il fit déposer deux moutons à l’entrée de la caverne, et, de plus, remplir la cuve où s’abreuvait le dragon, d’eau-de-vie au lieu de lait."
abricotier,FRA,"L’abricotier se multiplie par la greffe en écusson sur prunier, sur amandier, sur pêcher."
abricotier,FRA,"Qui boit du thé sous un abricotier,"
abricotiers,FRA,"Il a été accueilli par un couple de Mountain View, au Sud de San Francisco, et a grandi en jouant au milieu des abricotiers de ce qui est devenu la Silicon Valley (vallée du silicium), la pépinière informatique californienne."
abricotiers,FRA,"Une longueur de 10 m avec en limitede rocaille jusqu'à il n'y a pas longtemps 2 abricotiers, moches et malades, on les a abatu, et vu l'état des troncs ils n'auraient pas survécu bien longtemps!"
abricotiers,FRA,"Mon producteur, ne fait pas que des légumes il cultive aussi beaucoup de fruits de saison, nous avons donc déhembulé parmis les pêchers, les poiriers, les cerisiers, les abricotiers et les pommiers."
abricotiers,FRA,Alors qu'ai-je mis à la place des abricotiers?
